OGLE-GD-ECL-00001  CAR116.8   8290 EC      10:34:26.04 -62:58:57.6                                     
OGLE-GD-ECL-00002  CAR116.6  27242 nonEC   10:34:26.56 -62:36:59.4                                     
OGLE-GD-ECL-00003  CAR116.8   8251 nonEC   10:34:26.71 -63:00:08.9                                     
OGLE-GD-ECL-00004  CAR116.8  17057 EC      10:34:27.70 -62:57:07.8                                     
OGLE-GD-ECL-00005  CAR116.5  10360 EC      10:34:28.03 -62:31:28.3                                     
OGLE-GD-ECL-00006  CAR116.8  26356 EC      10:34:29.60 -62:54:28.9                                     
OGLE-GD-ECL-00007  CAR116.8    116 EC      10:34:30.56 -63:00:52.5                                     
OGLE-GD-ECL-00008  CAR116.6  17557 EC      10:34:31.93 -62:39:07.3                                     
OGLE-GD-ECL-00009  CAR116.5  32860 EC      10:34:32.34 -62:26:54.7                                     
OGLE-GD-ECL-00010  CAR116.7  17510 nonEC   10:34:32.44 -62:47:04.9                                     
OGLE-GD-ECL-00011  CAR116.7  17223 nonEC   10:34:32.63 -62:48:33.0                                     
OGLE-GD-ECL-00012  CAR116.8    235 EC      10:34:33.15 -63:02:27.1                                     
OGLE-GD-ECL-00013  CAR116.8  17022 EC      10:34:34.57 -62:57:05.1                                     
OGLE-GD-ECL-00014  CAR116.7     35 nonEC   10:34:34.97 -62:52:22.3                                     
OGLE-GD-ECL-00015  CAR116.5  32424 nonEC   10:34:36.33 -62:26:44.7                                     
OGLE-GD-ECL-00016  CAR116.6  17251 nonEC   10:34:36.38 -62:38:50.8                                     
OGLE-GD-ECL-00017  CAR116.7    144 nonEC   10:34:36.44 -62:52:37.5                                     
OGLE-GD-ECL-00018  CAR116.6  17390 EC      10:34:36.73 -62:39:47.3                                     
OGLE-GD-ECL-00019  CAR116.6  17265 EC      10:34:38.60 -62:39:44.5                                     
OGLE-GD-ECL-00020  CAR116.6  17094 EC      10:34:39.41 -62:39:17.8                                     
OGLE-GD-ECL-00021  CAR116.6   8369 EC      10:34:39.96 -62:41:33.6                                     
OGLE-GD-ECL-00022  CAR116.5    577 nonEC   10:34:40.00 -62:33:33.6                                     
OGLE-GD-ECL-00023  CAR116.7  17257 EC      10:34:40.66 -62:48:48.7                                     
OGLE-GD-ECL-00024  CAR116.7     88 nonEC   10:34:41.95 -62:51:52.0                                     
OGLE-GD-ECL-00025  CAR116.7    316 EC      10:34:43.17 -62:51:56.8                                     
OGLE-GD-ECL-00026  CAR116.6   9546 EC      10:34:46.09 -62:41:28.7                                     
OGLE-GD-ECL-00027  CAR116.5   1406 EC      10:34:48.67 -62:33:41.8                                     
OGLE-GD-ECL-00028  CAR116.7  18551 nonEC   10:34:48.99 -62:48:54.8                                     
OGLE-GD-ECL-00029  CAR116.8   1348 EC      10:34:50.08 -63:01:40.7                                     
OGLE-GD-ECL-00030  CAR116.6  18819 EC      10:34:50.40 -62:38:17.2                                     
OGLE-GD-ECL-00031  CAR116.5  33853 EC      10:34:50.58 -62:27:10.5                                     
OGLE-GD-ECL-00032  CAR116.7   1145 nonEC   10:34:52.00 -62:53:44.2                                     
OGLE-GD-ECL-00033  CAR116.7   1066 nonEC   10:34:52.14 -62:52:38.9                                     
OGLE-GD-ECL-00034  CAR116.8  26762 EC      10:34:53.72 -62:55:47.3                                     
OGLE-GD-ECL-00035  CAR116.7  26949 nonEC   10:34:54.77 -62:46:59.2                                     
OGLE-GD-ECL-00036  CAR116.7   1278 EC      10:34:56.55 -62:52:56.7                                     
OGLE-GD-ECL-00037  CAR116.5   1190 EC      10:34:59.48 -62:34:57.2                                     
OGLE-GD-ECL-00038  CAR116.5   1346 EC      10:35:00.40 -62:33:50.2                                     
OGLE-GD-ECL-00039  CAR116.6  28945 EC      10:35:01.63 -62:37:26.8                                     
OGLE-GD-ECL-00040  CAR116.7  18299 EC      10:35:02.23 -62:48:45.3                                     
OGLE-GD-ECL-00041  CAR116.7   1326 EC      10:35:02.43 -62:53:01.5                                     
OGLE-GD-ECL-00042  CAR116.7   9415 EC      10:35:02.49 -62:49:24.2                                     
OGLE-GD-ECL-00043  CAR116.8  18361 EC      10:35:02.72 -62:57:40.3                                     
OGLE-GD-ECL-00044  CAR116.6  28677 nonEC   10:35:03.52 -62:37:01.8                                     
OGLE-GD-ECL-00045  CAR116.5  13105 EC      10:35:05.46 -62:32:03.1                                     
OGLE-GD-ECL-00046  CAR116.8   1957 EC      10:35:07.49 -63:00:52.6                                     
OGLE-GD-ECL-00047  CAR116.6  30155 EC      10:35:07.50 -62:36:43.3                                     
OGLE-GD-ECL-00048  CAR116.7   1998 EC      10:35:07.50 -62:53:11.4                                     
OGLE-GD-ECL-00049  CAR116.7  27931 nonEC   10:35:08.83 -62:46:01.5                                     
OGLE-GD-ECL-00050  CAR116.6  10660 EC      10:35:09.93 -62:41:31.7                                     
OGLE-GD-ECL-00051  CAR116.8   2041 EC      10:35:09.94 -63:01:24.3                                     
OGLE-GD-ECL-00052  CAR116.8   2644 EC      10:35:12.50 -63:02:25.5                                     
OGLE-GD-ECL-00053  CAR116.7   2451 EC      10:35:17.34 -62:53:24.3                                     
OGLE-GD-ECL-00054  CAR116.5  23938 EC      10:35:18.00 -62:30:33.4                                     
OGLE-GD-ECL-00055  CAR116.7  10977 EC      10:35:18.50 -62:51:07.6                                     
OGLE-GD-ECL-00056  CAR116.5  34884 nonEC   10:35:20.03 -62:28:42.1                                     
OGLE-GD-ECL-00057  CAR116.7   2028 EC      10:35:20.86 -62:53:02.8                                     
OGLE-GD-ECL-00058  CAR116.8   2089 nonEC   10:35:21.68 -63:00:55.3                                     
