OGLE-LMC-CEP-0001  LMC156.5    186       1O 04:30:57.73 -69:03:37.4                                                   
OGLE-LMC-CEP-0002  LMC157.6   2009        F 04:31:47.04 -69:49:09.6                                                   
OGLE-LMC-CEP-0003  LMC151.6    310       1O 04:35:05.71 -70:25:26.9                                                   
OGLE-LMC-CEP-0004  LMC157.3   2913       1O 04:35:20.15 -69:48:07.7                                                   
OGLE-LMC-CEP-0005  LMC157.3   2916        F 04:35:31.52 -69:44:05.9                                                   
OGLE-LMC-CEP-0006  LMC150.6     14       1O 04:35:42.16 -69:43:29.2                                                   
OGLE-LMC-CEP-0007  LMC155.3   5189       1O 04:36:30.05 -68:37:35.7                                                   
OGLE-LMC-CEP-0008  LMC156.2   5440    1O/2O 04:36:33.07 -69:18:43.6                                                   
OGLE-LMC-CEP-0009  LMC154.3     22       1O 04:36:52.13 -68:03:51.4                                                   
OGLE-LMC-CEP-0010  LMC154.1     22       1O 04:36:56.47 -68:14:27.0                                                   
OGLE-LMC-CEP-0011  LMC150.7   5166    1O/2O 04:37:40.22 -69:57:38.9                                                   
OGLE-LMC-CEP-0012  LMC153.4     17        F 04:37:48.73 -67:12:51.9                                                   
OGLE-LMC-CEP-0013  LMC149.7     37       1O 04:37:51.01 -69:17:18.6                                                   
OGLE-LMC-CEP-0014  LMC150.7   5155       1O 04:38:18.92 -69:53:16.5                                                   
OGLE-LMC-CEP-0015  LMC149.7   6029       1O 04:38:32.29 -69:21:09.6                                                   
OGLE-LMC-CEP-0016  LMC153.1     11        F 04:38:32.52 -67:38:46.7                                                   
OGLE-LMC-CEP-0017  LMC150.6   5206        F 04:38:56.83 -69:41:18.2                                                   
OGLE-LMC-CEP-0018  LMC148.8     17        F 04:38:58.98 -68:57:24.8                                                   
OGLE-LMC-CEP-0019  LMC154.1   4727       1O 04:39:03.28 -68:18:35.2                                                   
OGLE-LMC-CEP-0020  LMC149.6   6095       1O 04:39:30.51 -69:13:49.2                                                   
OGLE-LMC-CEP-0021  LMC149.7   6013        F 04:39:30.96 -69:15:42.6                                                   
OGLE-LMC-CEP-0022  LMC150.3      3       1O 04:39:52.90 -69:49:55.0                                                   
OGLE-LMC-CEP-0023  LMC149.4     71        F 04:40:47.48 -68:59:08.3                                                   
OGLE-LMC-CEP-0024  LMC150.3   7085     F/1O 04:40:50.60 -69:44:16.7                                                   
OGLE-LMC-CEP-0025  LMC149.3     41        F 04:40:54.37 -69:06:54.3                                                   
OGLE-LMC-CEP-0026  LMC148.2     16        F 04:41:12.24 -68:47:59.1                                                   
OGLE-LMC-CEP-0027  LMC146.6     29        F 04:41:19.49 -67:20:08.1                                              V0009 HV12711
OGLE-LMC-CEP-0028  LMC150.4   7575        F 04:41:26.92 -69:37:54.4                                                   
OGLE-LMC-CEP-0029  LMC150.1   5722       1O 04:41:35.43 -70:02:42.3                                                   
OGLE-LMC-CEP-0030  LMC150.1   5799       1O 04:41:39.58 -70:05:49.1                                                   
OGLE-LMC-CEP-0031  LMC149.3   7684       1O 04:41:44.88 -69:06:55.5                                                   
OGLE-LMC-CEP-0032  LMC150.3   7156    1O/2O 04:41:45.24 -69:44:30.7                                                   
OGLE-LMC-CEP-0033  LMC149.1   7417        F 04:41:57.93 -69:26:00.8                                                   
OGLE-LMC-CEP-0034  LMC144.8      8        F 04:42:01.92 -70:38:49.0                                              V0011 HV12716
OGLE-LMC-CEP-0035  LMC147.6   4793        F 04:42:06.31 -67:58:11.5                                                   
OGLE-LMC-CEP-0036  LMC144.5     65     F/1O 04:42:11.79 -70:14:02.0                                                   
OGLE-LMC-CEP-0037  LMC148.4     36        F 04:42:14.88 -68:26:10.6                                                   
OGLE-LMC-CEP-0038  LMC149.3   7710       1O 04:42:15.88 -69:13:01.4                                                   
OGLE-LMC-CEP-0039  LMC148.3     83        F 04:42:38.01 -68:30:59.3                                                   
OGLE-LMC-CEP-0040  LMC143.6     11        F 04:42:47.26 -69:49:00.5                                              V0014 HV12715
OGLE-LMC-CEP-0041  LMC146.6   3894        F 04:42:53.73 -67:25:59.8                                                   
OGLE-LMC-CEP-0042  LMC144.5   6906        F 04:43:01.61 -70:10:01.6                                                   
OGLE-LMC-CEP-0043  LMC148.1   7258       1O 04:43:03.84 -68:51:24.6                                                   
OGLE-LMC-CEP-0044  LMC146.4     20        F 04:43:10.48 -67:14:00.9                                              V0015 HV12712
OGLE-LMC-CEP-0045  LMC146.4     51        F 04:43:10.74 -67:16:58.0                                                   
OGLE-LMC-CEP-0046  LMC142.6      4        F 04:43:20.85 -69:13:47.9                                044324-6913.7 V0016 HV12717
OGLE-LMC-CEP-0047  LMC143.7     37       1O 04:43:25.61 -69:53:49.4                                                   
OGLE-LMC-CEP-0048  LMC143.5     14        F 04:43:31.45 -69:37:28.9                                              V0017 U2
OGLE-LMC-CEP-0049  LMC144.8   5522        F 04:43:35.58 -70:41:46.5                                                   
OGLE-LMC-CEP-0050  LMC143.5     16        F 04:43:40.32 -69:34:14.2                                              V0018 HV12976
OGLE-LMC-CEP-0051  LMC144.6   6708       1O 04:43:44.16 -70:18:14.7                                                   
OGLE-LMC-CEP-0052  LMC148.1   7277       1O 04:43:54.22 -68:49:14.9                                                   
OGLE-LMC-CEP-0053  LMC143.7   8221        F 04:44:04.82 -69:50:29.1                                                   
OGLE-LMC-CEP-0054  LMC143.8   7613       1O 04:44:06.11 -70:05:43.8                                                   
OGLE-LMC-CEP-0055  LMC145.1     19        F 04:44:34.06 -67:04:21.4                                                   
OGLE-LMC-CEP-0056  LMC144.4     17        F 04:44:47.04 -70:13:51.0                                                   
OGLE-LMC-CEP-0057  LMC142.5  10066        F 04:44:52.68 -69:01:59.5                                                   
OGLE-LMC-CEP-0058  LMC142.6  10925        F 04:44:53.34 -69:11:29.7                                              V0022 HV12720
OGLE-LMC-CEP-0059  LMC141.6     36        F 04:44:54.90 -68:38:21.7                                                   
OGLE-LMC-CEP-0060  LMC143.6   9591        F 04:44:59.58 -69:49:55.7                                                   
OGLE-LMC-CEP-0061  LMC147.2   8271    1O/2O 04:45:00.76 -68:07:01.3                                                   
OGLE-LMC-CEP-0062  LMC141.8     51       1O 04:45:13.64 -68:54:51.8                                                   
OGLE-LMC-CEP-0063  LMC142.7  13456        F 04:45:18.63 -69:16:38.6                                044518-6916.6      
OGLE-LMC-CEP-0064  LMC142.6  10941        F 04:45:29.34 -69:08:49.4                                              V0026 HV12722
OGLE-LMC-CEP-0065  LMC140.8    440       1O 04:45:29.37 -68:19:16.3                                                   
OGLE-LMC-CEP-0066  LMC143.7   8276       1O 04:45:34.18 -69:53:54.0                                                   
OGLE-LMC-CEP-0067  LMC144.3     36        F 04:45:34.63 -70:22:15.2                                              V0027 HV12723
OGLE-LMC-CEP-0068  LMC144.4   4208        F 04:45:37.20 -70:15:03.9                                044537-7015.0 V0029 HV8036
OGLE-LMC-CEP-0069  LMC141.6    120       1O 04:45:38.68 -68:39:06.3                                                   
OGLE-LMC-CEP-0070  LMC143.4      5        F 04:46:01.08 -69:38:55.8                                              V0030 HV12724
OGLE-LMC-CEP-0071  LMC141.7   9526       1O 04:46:06.32 -68:46:31.8                                                   
OGLE-LMC-CEP-0072  LMC141.7   9491        F 04:46:32.83 -68:44:57.6                                                   
OGLE-LMC-CEP-0073  LMC145.1   4777    1O/2O 04:46:38.50 -67:08:43.9                                                   
OGLE-LMC-CEP-0074  LMC145.2   4580       1O 04:46:38.50 -66:57:48.7                                                   
OGLE-LMC-CEP-0075  LMC144.4   7996        F 04:46:39.11 -70:15:57.6                                                   
OGLE-LMC-CEP-0076  LMC142.4     37        F 04:46:47.93 -69:05:43.1                                                   
OGLE-LMC-CEP-0077  LMC140.7   8874       1O 04:46:56.52 -68:07:42.8                                                   
OGLE-LMC-CEP-0078  LMC143.1     14        F 04:47:00.97 -70:05:52.5                                                   
OGLE-LMC-CEP-0079  LMC142.2     10        F 04:47:06.90 -69:17:39.4                                044707-6917.7 V0033 U1
OGLE-LMC-CEP-0080  LMC139.8     44       1O 04:47:11.09 -67:40:02.8                                                   
OGLE-LMC-CEP-0081  LMC138.5    110    1O/2O 04:47:13.41 -66:39:01.5                                                   
OGLE-LMC-CEP-0082  LMC143.1     16       1O 04:47:14.88 -69:59:47.4                                                   
OGLE-LMC-CEP-0083  LMC143.2    687     F/1O 04:47:16.27 -69:51:01.8                                                   
OGLE-LMC-CEP-0084  LMC142.1     17       1O 04:47:20.05 -69:29:12.9                                                   
OGLE-LMC-CEP-0085  LMC143.2     50       1O 04:47:20.06 -69:56:42.0                                                   
OGLE-LMC-CEP-0086  LMC142.1     61       1O 04:47:22.82 -69:26:10.1                                                   
OGLE-LMC-CEP-0087  LMC143.3     54        F 04:47:24.15 -69:43:19.1                                              V0036 HV12447
OGLE-LMC-CEP-0088  LMC142.1     63       1O 04:47:31.00 -69:30:47.9                                                   
OGLE-LMC-CEP-0089  LMC141.1     24        F 04:47:31.09 -68:55:28.7                                                   
OGLE-LMC-CEP-0090  LMC144.4   8021        F 04:47:44.72 -70:12:07.3                                                   
OGLE-LMC-CEP-0091  LMC140.8   9933        F 04:47:46.15 -68:19:49.5                                                   
OGLE-LMC-CEP-0092  LMC140.5   8550       1O 04:47:47.57 -67:51:57.9                                                   
OGLE-LMC-CEP-0093  LMC144.3   8029       1O 04:47:57.81 -70:19:33.5                                                   
OGLE-LMC-CEP-0094  LMC142.2    231        F 04:48:00.90 -69:19:14.8                                                   
OGLE-LMC-CEP-0095  LMC140.5   8556        F 04:48:01.97 -67:48:29.3                                                   
OGLE-LMC-CEP-0096  LMC142.2     59       1O 04:48:04.36 -69:18:25.9                                                   
OGLE-LMC-CEP-0097  LMC139.7   6955       1O 04:48:26.72 -67:32:47.1                                                   
OGLE-LMC-CEP-0098  LMC137.7    176       1O 04:48:29.07 -70:28:43.3                                                   
OGLE-LMC-CEP-0099  LMC141.3    149       1O 04:48:30.90 -68:33:42.9                                                   
OGLE-LMC-CEP-0100  LMC137.5     30        F 04:48:34.21 -70:10:16.3                                              V0047 HV12462
OGLE-LMC-CEP-0101  LMC142.2  18242        F 04:48:34.24 -69:20:50.2                                                   
OGLE-LMC-CEP-0102  LMC139.7   7042       2O 04:48:34.63 -67:31:47.4                                                   
OGLE-LMC-CEP-0103  LMC139.7   6957        F 04:48:35.60 -67:35:00.0                                              V0044 HV12727
OGLE-LMC-CEP-0104  LMC143.1   9819        F 04:48:45.64 -70:00:21.3                                              V0048 DV2
OGLE-LMC-CEP-0105  LMC138.6   5508        F 04:48:48.90 -66:44:02.1                                              V0046 HV12728
OGLE-LMC-CEP-0106  LMC137.5     35        F 04:48:50.62 -70:14:53.1                                                   
OGLE-LMC-CEP-0107  LMC142.2  18253        F 04:48:51.35 -69:21:22.8                                              V0049 HV12452
OGLE-LMC-CEP-0108  LMC141.1     63        F 04:48:56.11 -68:54:06.7                                                   
OGLE-LMC-CEP-0109  LMC142.4  13987        F 04:48:56.62 -68:57:12.6                                                   
OGLE-LMC-CEP-0110  LMC143.1   9739       1O 04:48:58.98 -70:04:20.0                                                   
OGLE-LMC-CEP-0111  LMC142.2  18427        F 04:49:04.16 -69:18:02.4                                                   
OGLE-LMC-CEP-0112  LMC140.4    150     F/1O 04:49:10.16 -67:51:53.3                 47.1407.18                        
OGLE-LMC-CEP-0113  LMC141.1  12885       1O 04:49:11.23 -68:54:29.3                                                   
