OGLE-LMC-DPV-001 LMC153.7   3313 04:36:33.05 -67:28:37.6                                          
OGLE-LMC-DPV-002 LMC150.5    147 04:37:13.69 -69:36:51.8                                          
OGLE-LMC-DPV-003 LMC150.5   4808 04:37:33.15 -69:39:00.3                                          
OGLE-LMC-DPV-004 LMC155.3   5293 04:37:50.38 -68:34:28.7                                          
OGLE-LMC-DPV-005 LMC145.3   4616 04:46:25.89 -66:51:47.3                                          
OGLE-LMC-DPV-006 LMC141.8   8760 04:46:37.13 -68:49:58.2                                          
OGLE-LMC-DPV-007 LMC142.3  14500 04:48:15.45 -69:08:38.4                                          
OGLE-LMC-DPV-008 LMC141.1     19 04:48:35.78 -68:52:28.3                                          
OGLE-LMC-DPV-009 LMC138.6   5564 04:48:53.41 -66:45:10.6                                          
OGLE-LMC-DPV-010 LMC140.1  13051 04:50:59.76 -68:13:44.7                                          
OGLE-LMC-DPV-011 LMC135.7  28671 04:52:22.65 -69:19:35.8                                          
OGLE-LMC-DPV-012 LMC131.8  13640 04:54:20.39 -67:06:01.5                                          
OGLE-LMC-DPV-013 LMC130.6    305 04:55:05.04 -70:54:03.0                                          
OGLE-LMC-DPV-014 LMC131.1    148 04:56:09.53 -67:08:26.9                                          
OGLE-LMC-DPV-015 LMC132.4  13332 04:57:26.89 -67:15:17.6                                          
OGLE-LMC-DPV-016 LMC127.6   7433 04:57:27.24 -69:10:36.4                                          
OGLE-LMC-DPV-017 LMC127.5  50953 04:58:01.85 -68:59:43.8                                          
OGLE-LMC-DPV-018 LMC124.7    356 04:58:35.57 -67:35:35.0                                          
OGLE-LMC-DPV-019 LMC128.6  42720 04:58:40.38 -69:45:03.6                                          
OGLE-LMC-DPV-020 LMC127.3  42946 04:59:54.59 -69:08:46.0                                          
OGLE-LMC-DPV-021 LMC126.7  25369 04:59:56.39 -68:46:03.0                                          
OGLE-LMC-DPV-022 LMC125.8  16845 04:59:58.74 -68:20:26.7                                          
OGLE-LMC-DPV-023 LMC124.3  19258 05:01:33.87 -67:22:29.0                                          
OGLE-LMC-DPV-024 LMC126.4  47888 05:02:05.37 -68:25:25.1                                          
OGLE-LMC-DPV-025 LMC119.6  54227 05:02:53.15 -69:09:49.1 LMC_SC14_24328  1.3686.53                
OGLE-LMC-DPV-026 LMC119.6    289 05:03:04.96 -69:13:58.2 LMC_SC14_20017                           
OGLE-LMC-DPV-027 LMC119.7  66614 05:04:03.68 -69:17:50.6 LMC_SC14_143944 1.3805.130               
OGLE-LMC-DPV-028 LMC116.6      2 05:04:04.28 -67:21:47.3                                          
OGLE-LMC-DPV-029 LMC118.7  56244 05:04:12.75 -68:40:31.3 LMC_SC14_186134                          
OGLE-LMC-DPV-030 LMC116.8    687 05:04:43.71 -67:37:46.8                                          
OGLE-LMC-DPV-031 LMC116.6    314 05:05:21.69 -67:21:34.6                                          
OGLE-LMC-DPV-032 LMC118.8  74052 05:05:22.55 -68:52:00.1 LMC_SC13_26077                           
OGLE-LMC-DPV-033 LMC118.7  66117 05:05:23.27 -68:43:37.9 LMC_SC13_35195                           
OGLE-LMC-DPV-034 LMC118.7  34959 05:05:41.98 -68:47:32.7 LMC_SC13_98065                           
OGLE-LMC-DPV-035 LMC118.8  38447 05:06:00.00 -68:55:02.4 LMC_SC13_88370  1.4174.42                
OGLE-LMC-DPV-036 LMC120.2    604 05:06:10.42 -69:58:24.8 LMC_SC12_61283                           
OGLE-LMC-DPV-037 LMC117.2     34 05:07:04.58 -68:12:20.9                                          
OGLE-LMC-DPV-038 LMC120.4  34318 05:08:27.45 -69:37:24.8 LMC_SC11_87867                           
OGLE-LMC-DPV-039 LMC118.2  26948 05:08:46.68 -68:45:55.6 LMC_SC11_251055                          
OGLE-LMC-DPV-040 LMC113.5    173 05:08:53.44 -70:14:08.7                                          
OGLE-LMC-DPV-041 LMC112.5    205 05:09:12.63 -69:40:46.6                                          
OGLE-LMC-DPV-042 LMC111.7     50 05:09:13.77 -69:19:14.6 LMC_SC11_200793                          
OGLE-LMC-DPV-043 LMC116.4  13301 05:09:26.70 -67:17:09.7                              V1238       
OGLE-LMC-DPV-044 LMC113.6   8201 05:09:54.40 -70:22:05.6                                          
OGLE-LMC-DPV-045 LMC110.8    428 05:10:16.16 -68:54:29.2 LMC_SC10_54697  79.4900.185              
OGLE-LMC-DPV-046 LMC107.5   1011 05:10:51.73 -66:43:13.9                                          
OGLE-LMC-DPV-047 LMC110.8  64858 05:11:09.56 -68:50:07.6 LMC_SC10_132713                          
OGLE-LMC-DPV-048 LMC111.6  19765 05:11:17.64 -69:13:45.6 LMC_SC10_172629                          
OGLE-LMC-DPV-049 LMC110.7  21964 05:11:54.57 -68:46:36.9 LMC_SC10_208201 2.5144.4555              
OGLE-LMC-DPV-050 LMC111.1    254 05:13:00.52 -69:32:47.4 LMC_SC9_8569                             
OGLE-LMC-DPV-051 LMC111.3  23636 05:14:26.67 -69:10:55.8 LMC_SC9_237871  79.5501.400              
OGLE-LMC-DPV-052 LMC110.1  60601 05:14:37.50 -68:52:25.9 LMC_SC9_385651  79.5506.139              
OGLE-LMC-DPV-053 LMC107.4  15275 05:14:44.22 -66:39:12.8                              V1649 HV2374
OGLE-LMC-DPV-054 LMC111.1  32596 05:15:21.52 -69:30:50.7 LMC_SC8_21543                            
OGLE-LMC-DPV-055 LMC111.2  36705 05:15:26.43 -69:23:25.3 LMC_SC8_33740   79.5740.5092             
OGLE-LMC-DPV-056 LMC100.8  72253 05:15:53.21 -69:25:57.9 LMC_SC8_125836  79.5739.5807             
OGLE-LMC-DPV-057 LMC103.5   1120 05:16:25.61 -69:36:58.1 LMC_SC8_193430                           
OGLE-LMC-DPV-058 LMC103.5  14331 05:17:13.91 -69:36:37.4 LMC_SC8_291760  78.5979.58               
OGLE-LMC-DPV-059 LMC102.5  15383 05:17:34.47 -67:50:09.4                                          
OGLE-LMC-DPV-060 LMC100.7  34911 05:17:39.56 -69:22:49.6 LMC_SC7_65034                            
OGLE-LMC-DPV-061 LMC101.1     20 05:19:17.81 -68:55:06.4                                          
OGLE-LMC-DPV-062 LMC100.1    271 05:19:41.00 -69:31:17.0 LMC_SC7_397207  78.6343.81               
OGLE-LMC-DPV-063 LMC100.1  95418 05:19:57.30 -69:25:13.8 LMC_SC7_416034                           
OGLE-LMC-DPV-064 LMC100.2  88607 05:19:58.86 -69:17:01.2 LMC_SC7_440121  80.6468.83               
OGLE-LMC-DPV-065 LMC103.4  15661 05:20:03.95 -69:36:39.0 LMC_SC7_388078               V2122 HV936 
OGLE-LMC-DPV-066 LMC106.1    159 05:20:26.72 -71:47:21.3                                          
OGLE-LMC-DPV-067 LMC100.3  78069 05:20:33.12 -69:10:14.6 LMC_SC6_118185  80.6469.95               
OGLE-LMC-DPV-068 LMC103.2  64944 05:20:41.28 -69:52:10.8 LMC_SC6_142573                           
OGLE-LMC-DPV-069 LMC102.4  14511 05:21:34.80 -67:45:51.4                                          
OGLE-LMC-DPV-070 LMC103.1  68079 05:22:14.67 -70:01:56.8 LMC_SC6_356569                           
OGLE-LMC-DPV-071 LMC162.6    866 05:22:19.97 -69:48:39.9 LMC_SC6_384687                           
OGLE-LMC-DPV-072 LMC159.5    317 05:22:31.24 -67:46:01.1                                          
OGLE-LMC-DPV-073 LMC161.5   1024 05:22:52.89 -69:04:40.4                                          
OGLE-LMC-DPV-074 LMC162.7  89414 05:23:20.95 -69:50:58.1 LMC_SC5_153126                           
OGLE-LMC-DPV-075 LMC162.6  23711 05:23:54.77 -69:49:54.2 LMC_SC5_272979                           
OGLE-LMC-DPV-076 LMC162.6  19061 05:23:54.96 -69:49:53.6 LMC_SC5_267189                           
OGLE-LMC-DPV-077 LMC164.7  40413 05:25:36.90 -71:02:08.6                                          
OGLE-LMC-DPV-078 LMC162.2  75541 05:26:05.04 -69:54:53.4 LMC_SC4_168013  77.7426.140              
OGLE-LMC-DPV-079 LMC165.1   4664 05:27:35.36 -71:54:54.0                                          
OGLE-LMC-DPV-080 LMC162.2 117098 05:27:43.18 -69:50:55.7 LMC_SC3_53330   77.7669.1013             
