OGLE-LMC-ECL-00001  LMC157.6    237 ESD     04:29:24.04 -69:45:53.4                                      
OGLE-LMC-ECL-00002  LMC157.5    360 ESD     04:29:49.76 -69:34:18.7                                      
OGLE-LMC-ECL-00003  LMC157.5    762 ED      04:29:54.39 -69:34:38.5                                      
OGLE-LMC-ECL-00004  LMC157.5     34 ESD     04:30:04.64 -69:33:44.3                                      
OGLE-LMC-ECL-00005  LMC156.5    153 ED      04:30:43.21 -68:59:20.8                                      
OGLE-LMC-ECL-00006  LMC157.8   2301 ED      04:30:49.81 -70:06:53.1                                      
OGLE-LMC-ECL-00007  LMC157.6   2949 ED      04:30:56.73 -69:48:03.7                                      
OGLE-LMC-ECL-00008  LMC157.8   1863 ELL_EC  04:31:13.02 -70:03:32.6                                      
OGLE-LMC-ECL-00009  LMC158.4    285 ESD     04:31:21.92 -70:15:26.6                                      
OGLE-LMC-ECL-00010  LMC156.7    518 ED      04:31:24.16 -69:16:21.8                                      
OGLE-LMC-ECL-00011  LMC156.7    924 ED      04:31:24.95 -69:22:27.0                                      
OGLE-LMC-ECL-00012  LMC156.5    780 ESD     04:31:28.89 -69:01:33.5                                      
OGLE-LMC-ECL-00013  LMC156.6    527 ESD     04:31:33.60 -69:09:45.8                                      
OGLE-LMC-ECL-00014  LMC158.1    561 ED      04:31:44.72 -70:38:36.1                                      
OGLE-LMC-ECL-00015  LMC155.5     57 ED      04:31:48.10 -68:27:30.0                                      
OGLE-LMC-ECL-00016  LMC155.8    623 ESD     04:31:49.27 -68:51:33.3                                      
OGLE-LMC-ECL-00017  LMC157.6   2734 ESD     04:31:54.46 -69:41:48.6                                      
OGLE-LMC-ECL-00018  LMC156.7   4152 ESD     04:31:56.26 -69:22:23.6                                      
OGLE-LMC-ECL-00019  LMC155.7    426 ED      04:31:57.17 -68:46:31.5                                      
OGLE-LMC-ECL-00020  LMC157.6   2422 ED      04:32:04.98 -69:48:05.5                                      
OGLE-LMC-ECL-00021  LMC157.1    558 ED      04:32:29.46 -70:06:48.2                                      
OGLE-LMC-ECL-00022  LMC155.6    490 ESD     04:32:31.03 -68:39:05.4                                      
OGLE-LMC-ECL-00023  LMC157.4    662 ED      04:32:34.75 -69:33:29.6                                      
OGLE-LMC-ECL-00024  LMC157.4    663 ED_ESD  04:32:35.32 -69:34:43.9                                      
OGLE-LMC-ECL-00025  LMC155.7    504 ED_ESD  04:32:37.22 -68:43:00.4                                      
