OGLE-LMC-T2CEP-001  LMC154.1   4967  BLHer 04:38:15.33 -68:15:32.0                                     
OGLE-LMC-T2CEP-002  LMC148.3    131   WVir 04:42:33.95 -68:37:03.7                                     
OGLE-LMC-T2CEP-003  LMC145.6   3272  RVTau 04:43:05.54 -66:49:36.1                                V0013
OGLE-LMC-T2CEP-004  LMC147.2   8596  BLHer 04:44:43.64 -68:05:21.3                                     
OGLE-LMC-T2CEP-005  LMC143.2  10081  RVTau 04:48:08.33 -69:51:14.2                                     
OGLE-LMC-T2CEP-006  LMC139.3    412  BLHer 04:49:48.88 -67:25:20.6                                     
OGLE-LMC-T2CEP-007  LMC135.7  21276  BLHer 04:50:50.43 -69:19:23.7                                     
OGLE-LMC-T2CEP-008  LMC136.7  13893  BLHer 04:50:54.81 -69:50:40.0                                     
OGLE-LMC-T2CEP-009  LMC131.8    558  BLHer 04:52:40.07 -67:09:24.3                                     
OGLE-LMC-T2CEP-010  LMC134.3  20792  BLHer 04:54:10.61 -68:33:26.8                                     
OGLE-LMC-T2CEP-011  LMC132.7  12075  RVTau 04:54:38.69 -67:30:12.2                                     
OGLE-LMC-T2CEP-012  LMC134.4   4856   WVir 04:54:57.37 -68:29:02.3                                     
OGLE-LMC-T2CEP-013  LMC136.2  15823   WVir 04:55:24.41 -69:55:43.4                                     
OGLE-LMC-T2CEP-014  LMC136.2  15650  RVTau 04:55:35.40 -69:54:04.2                                     
OGLE-LMC-T2CEP-015  LMC133.4     35  RVTau 04:55:43.25 -67:51:09.9                 47.2496.8           
OGLE-LMC-T2CEP-016  LMC135.3  35452  RVTau 04:55:45.99 -69:07:46.3                                     
OGLE-LMC-T2CEP-017  LMC133.1  25240   WVir 04:56:16.02 -68:16:16.4                 47.2611.589         
OGLE-LMC-T2CEP-018  LMC127.8  41912  BLHer 04:58:29.81 -69:24:29.3                                     
OGLE-LMC-T2CEP-019  LMC125.7  27931  pWVir 04:58:49.42 -68:04:27.8                                     
OGLE-LMC-T2CEP-020  LMC124.8   5103  BLHer 04:59:06.12 -67:45:24.6                                     
OGLE-LMC-T2CEP-021  LMC130.1    160  pWVir 04:59:34.97 -71:15:31.2                                     
OGLE-LMC-T2CEP-022  LMC129.2    208   WVir 04:59:58.57 -70:34:27.8                                     
OGLE-LMC-T2CEP-023  LMC124.8  10484  pWVir 05:00:13.00 -67:42:43.7                                V0566 HV12509
OGLE-LMC-T2CEP-024  LMC128.3  14497  BLHer 05:00:55.43 -69:46:17.6                                     
OGLE-LMC-T2CEP-025  LMC126.3   8347  RVTau 05:01:38.78 -68:35:19.0                                     
OGLE-LMC-T2CEP-026  LMC125.1   6189   WVir 05:02:11.56 -68:20:16.0                                     
OGLE-LMC-T2CEP-027  LMC120.5     53   WVir 05:02:53.18 -69:36:57.5                 10.3680.18          
OGLE-LMC-T2CEP-028  LMC120.8     47  pWVir 05:03:00.85 -70:07:33.7                                     
OGLE-LMC-T2CEP-029  LMC126.2  65404  RVTau 05:03:04.97 -68:40:24.7                 19.3694.19     V0770 HV2281
OGLE-LMC-T2CEP-030  LMC125.2  18310  BLHer 05:03:35.82 -68:10:16.2                                     
OGLE-LMC-T2CEP-031  LMC122.8  13160   WVir 05:03:56.15 -71:15:16.6                                     
OGLE-LMC-T2CEP-032  LMC116.6      1  RVTau 05:03:56.31 -67:27:24.6                                     
OGLE-LMC-T2CEP-033  LMC118.8  12356  pWVir 05:03:59.16 -68:53:24.0 LMC_SC14_174795 1.3812.61           
OGLE-LMC-T2CEP-034  LMC119.6  66126   WVir 05:04:07.71 -69:07:31.5 LMC_SC14_156721 1.3808.112          
OGLE-LMC-T2CEP-035  LMC119.7  26958   WVir 05:04:22.36 -69:20:42.4 LMC_SC14_139172                     
OGLE-LMC-T2CEP-036  LMC119.7  27037   WVir 05:04:51.84 -69:23:55.8 LMC_SC14_200768                     
OGLE-LMC-T2CEP-037  LMC122.1     85   WVir 05:05:06.68 -71:17:59.4                                     
OGLE-LMC-T2CEP-038  LMC118.7  21842   WVir 05:05:10.82 -68:47:47.3 LMC_SC13_30676                      
OGLE-LMC-T2CEP-039  LMC116.5    329   WVir 05:05:11.31 -67:12:45.3                                     
OGLE-LMC-T2CEP-040  LMC120.6  64155  pWVir 05:05:11.81 -69:45:54.8                 10.4040.38          
OGLE-LMC-T2CEP-041  LMC119.7  41762  BLHer 05:05:15.21 -69:22:08.8 LMC_SC12_37723                      
OGLE-LMC-T2CEP-042  LMC119.6  40524  pWVir 05:05:44.82 -69:14:55.9 LMC_SC12_100127                     
OGLE-LMC-T2CEP-043  LMC120.2    167   WVir 05:06:00.43 -69:55:14.6                                     
OGLE-LMC-T2CEP-044  LMC120.3  42370   WVir 05:06:28.86 -69:43:58.8                 10.4162.33          
OGLE-LMC-T2CEP-045  LMC119.1     11  RVTau 05:06:34.06 -69:30:03.7                                     
OGLE-LMC-T2CEP-046  LMC117.1     73   WVir 05:07:38.94 -68:20:05.9                 19.4425.231    V1132 HV5598
OGLE-LMC-T2CEP-047  LMC120.4  22552   WVir 05:07:46.53 -69:37:00.3                                     
OGLE-LMC-T2CEP-048  LMC118.4  63258  BLHer 05:09:03.48 -68:25:27.8                                     
OGLE-LMC-T2CEP-049  LMC112.5  48722  BLHer 05:09:21.88 -69:36:03.0 LMC_SC11_263536                     
OGLE-LMC-T2CEP-050  LMC118.1  84661  RVTau 05:09:26.15 -68:50:05.0                                     
OGLE-LMC-T2CEP-051  LMC110.8  43396  RVTau 05:09:41.93 -68:51:25.0                                     
OGLE-LMC-T2CEP-052  LMC112.7   9733  pWVir 05:09:59.34 -69:58:28.7                 5.4763.71           
OGLE-LMC-T2CEP-053  LMC109.6  25013  BLHer 05:10:53.63 -67:57:31.9                                     
OGLE-LMC-T2CEP-054  LMC113.6  17293   WVir 05:11:05.36 -70:21:38.4                                     
OGLE-LMC-T2CEP-055  LMC109.6  24745  RVTau 05:11:15.17 -67:56:00.4                                V1379 HV2351
OGLE-LMC-T2CEP-056  LMC112.5  75266   WVir 05:11:19.35 -69:34:32.3                                     
OGLE-LMC-T2CEP-057  LMC110.7  60635   WVir 05:11:21.13 -68:40:13.3                 2.5025.39           
OGLE-LMC-T2CEP-058  LMC110.6  17187  RVTau 05:11:33.52 -68:35:53.7                 2.5026.30      V1402 HV13025 LMV1699
OGLE-LMC-T2CEP-059  LMC113.7  24715   WVir 05:11:49.38 -70:34:11.2                 9.5117.58           
OGLE-LMC-T2CEP-060  LMC113.4    436  BLHer 05:12:17.99 -70:15:04.8                                     
OGLE-LMC-T2CEP-061  LMC111.6  78508  BLHer 05:12:30.42 -69:07:16.2 LMC_SC9_52800                       
OGLE-LMC-T2CEP-062  LMC112.4    366   WVir 05:13:19.12 -69:38:57.6                                     
OGLE-LMC-T2CEP-063  LMC112.2  56955   WVir 05:13:43.85 -69:50:41.1                                     
OGLE-LMC-T2CEP-064  LMC110.3   8878  BLHer 05:13:55.87 -68:37:52.1                                     
