OGLE-SMC-RRLYR-0001  SMC139.8    421 RRab  00:19:54.74 -74:42:04.2                       
OGLE-SMC-RRLYR-0002  SMC139.7    194 RRab  00:19:54.78 -74:33:30.8                       
OGLE-SMC-RRLYR-0003  SMC140.6  43095 RRab  00:20:17.08 -71:57:26.5                       
OGLE-SMC-RRLYR-0004  SMC139.8    477 RRd   00:20:21.11 -74:46:56.1                       
OGLE-SMC-RRLYR-0005  SMC139.6    562 RRab  00:20:21.85 -74:22:59.6                       
OGLE-SMC-RRLYR-0006  SMC139.8    242 RRab  00:20:33.34 -74:43:58.1                       
OGLE-SMC-RRLYR-0007  SMC139.6    611 RRc   00:20:49.10 -74:27:20.2                       
OGLE-SMC-RRLYR-0008  SMC140.6    514 RRab  00:20:49.36 -72:03:09.6                       
OGLE-SMC-RRLYR-0009  SMC140.7    524 RRab  00:20:57.42 -72:12:04.3                       
OGLE-SMC-RRLYR-0010  SMC139.5    675 RRab  00:20:59.70 -74:17:31.3                       
OGLE-SMC-RRLYR-0011  SMC140.6  43373 RRab  00:21:06.56 -71:56:37.6                       
OGLE-SMC-RRLYR-0012  SMC140.8   9103 RRab  00:21:23.97 -72:15:33.7                       
OGLE-SMC-RRLYR-0013  SMC139.8    350 RRab  00:21:38.72 -74:43:38.0                       
OGLE-SMC-RRLYR-0014  SMC135.8    740 RRab  00:21:49.89 -73:32:51.5                       
OGLE-SMC-RRLYR-0015  SMC138.5    632 RRab  00:21:51.40 -73:44:24.6                       
OGLE-SMC-RRLYR-0016  SMC140.7   2598 RRab  00:21:51.44 -72:10:50.0                       
OGLE-SMC-RRLYR-0017  SMC135.8     10 RRd   00:21:54.59 -73:35:16.9                       
OGLE-SMC-RRLYR-0018  SMC138.7   1118 RRab  00:21:57.37 -73:56:07.1                       
OGLE-SMC-RRLYR-0019  SMC135.6    253 RRab  00:22:01.96 -73:14:48.6                       
OGLE-SMC-RRLYR-0020  SMC139.8   1884 RRc   00:22:02.44 -74:44:01.3                       
