OGLE-LMC-RRLYR-00001  RRab  04:27:45.45 -70:43:12.0  LMC545.10.329    LMC158.8.216                    
OGLE-LMC-RRLYR-00002  RRab  04:27:58.45 -70:10:59.4  LMC545.27.219    LMC158.5.211                    
OGLE-LMC-RRLYR-00003  RRab  04:28:08.50 -70:21:22.8  LMC545.19.2079   LMC158.6.247                    
OGLE-LMC-RRLYR-00004  RRab  04:28:19.31 -70:22:12.0  LMC545.19.2051   LMC158.6.271                    
OGLE-LMC-RRLYR-00005  RRab  04:28:21.06 -70:08:54.5  LMC545.27.256    LMC158.5.262                    
OGLE-LMC-RRLYR-00006  RRab  04:28:28.18 -70:41:44.4  LMC545.10.359    LMC158.8.286                    
OGLE-LMC-RRLYR-00007  RRab  04:28:38.83 -70:28:19.9  LMC545.19.258    LMC158.7.320                    
OGLE-LMC-RRLYR-00008  RRab  04:28:57.78 -70:17:16.6  LMC545.18.2772   LMC158.6.346                    
OGLE-LMC-RRLYR-00009  RRd   04:29:08.87 -69:36:59.5                   LMC157.5.640                    
OGLE-LMC-RRLYR-00010  RRab  04:29:19.47 -70:41:24.1  LMC545.09.341    LMC158.8.2019                   
OGLE-LMC-RRLYR-00011  RRab  04:29:22.01 -70:39:49.7  LMC545.09.2265   LMC158.8.1805                   
OGLE-LMC-RRLYR-00012  RRab  04:29:24.99 -69:50:38.5  LMC546.03.288    LMC157.7.245                    
OGLE-LMC-RRLYR-00013  aRRd  04:29:33.78 -70:03:11.4  LMC545.26.2650   LMC157.8.235                    
OGLE-LMC-RRLYR-00014  RRab  04:29:39.61 -70:07:47.3  LMC545.26.289    LMC157.8.518                    
OGLE-LMC-RRLYR-00015  RRc   04:29:43.12 -70:41:11.2  LMC537.32.398    LMC158.8.1844                   
OGLE-LMC-RRLYR-00016  RRab  04:29:46.33 -70:08:43.9  LMC545.26.261    LMC158.5.2527                   
OGLE-LMC-RRLYR-00017  RRab  04:29:49.37 -70:11:02.6  LMC545.26.207    LMC158.5.2225                   
OGLE-LMC-RRLYR-00018  RRab  04:29:53.38 -70:40:25.0  LMC537.32.418    LMC158.8.1875                   
OGLE-LMC-RRLYR-00019  RRab  04:29:58.33 -70:11:06.9  LMC545.26.202    LMC158.5.2560                   
OGLE-LMC-RRLYR-00020  RRc   04:30:00.36 -69:59:09.8  LMC545.26.2751   LMC157.7.337                    
OGLE-LMC-RRLYR-00021  RRd   04:30:09.97 -70:13:36.2                   LMC158.5.2281                   
OGLE-LMC-RRLYR-00022  RRab  04:30:18.46 -69:31:14.6  LMC546.10.377    LMC156.8.366                    
OGLE-LMC-RRLYR-00023  RRab  04:30:26.50 -70:10:20.4  LMC538.16.406    LMC158.5.2340                   
OGLE-LMC-RRLYR-00024  RRab  04:30:27.08 -70:03:47.0  LMC538.16.585    LMC157.8.380                    
OGLE-LMC-RRLYR-00025  RRab  04:30:28.13 -69:51:56.3  LMC546.02.306    LMC157.7.405                    
OGLE-LMC-RRLYR-00026  RRab  04:30:28.55 -70:05:58.4  LMC538.16.532    LMC157.8.619                    
OGLE-LMC-RRLYR-00027  RRab  04:30:41.80 -70:07:07.8  LMC538.16.495    LMC157.8.1984                   
OGLE-LMC-RRLYR-00028  RRab  04:30:43.04 -69:23:07.7  LMC546.10.3375   LMC156.7.418                    
OGLE-LMC-RRLYR-00029  RRc   04:30:43.59 -69:06:48.4  LMC546.19.3183   LMC156.6.411                    
OGLE-LMC-RRLYR-00030  RRab  04:30:47.39 -70:30:46.3  LMC545.17.252    LMC158.7.2130                   
OGLE-LMC-RRLYR-00031  RRab  04:30:49.29 -70:28:19.7  LMC545.17.314    LMC158.7.2409                   
OGLE-LMC-RRLYR-00032  RRc   04:30:52.62 -69:36:38.4                   LMC157.5.2658                   
OGLE-LMC-RRLYR-00033  RRab  04:30:57.02 -70:32:26.9  LMC537.32.3019   LMC158.7.2427                   
OGLE-LMC-RRLYR-00034  RRab  04:31:02.52 -69:43:48.9  LMC538.25.4055   LMC157.6.2543                   
OGLE-LMC-RRLYR-00035  RRd   04:31:07.16 -69:41:07.3  LMC538.25.4124   LMC157.5.3030                   
OGLE-LMC-RRLYR-00036  RRab  04:31:10.63 -70:07:23.6  LMC538.16.487    LMC157.8.2344                   
OGLE-LMC-RRLYR-00037  RRab  04:31:16.01 -69:49:37.8  LMC538.25.525    LMC157.6.2283                   
OGLE-LMC-RRLYR-00038  RRc   04:31:18.60 -70:14:59.2  LMC545.17.3206   LMC158.4.277                    
OGLE-LMC-RRLYR-00039  RRab  04:31:23.44 -69:43:49.1  LMC538.25.4056   LMC157.6.2305                   
OGLE-LMC-RRLYR-00040  RRab  04:31:26.49 -70:13:14.6                   LMC158.4.303                    
OGLE-LMC-RRLYR-00041  RRab  04:31:29.05 -70:29:09.5  LMC545.17.288    LMC158.2.276                    
OGLE-LMC-RRLYR-00042  RRc   04:31:34.11 -70:38:49.1  LMC537.31.3302   LMC158.1.263                    
OGLE-LMC-RRLYR-00043  RRab  04:31:35.32 -70:01:53.2  LMC538.16.4560   LMC157.8.2129                   
OGLE-LMC-RRLYR-00044  RRab  04:31:37.18 -68:51:29.8  LMC546.26.424    LMC155.8.335                    
OGLE-LMC-RRLYR-00045  RRab  04:31:41.68 -69:54:39.5  LMC538.25.381    LMC157.7.2547                   
OGLE-LMC-RRLYR-00046  RRc   04:31:45.24 -70:22:39.2  LMC545.17.480    LMC158.3.313                    
OGLE-LMC-RRLYR-00047  RRab  04:31:45.48 -70:00:02.1  LMC538.16.4604   LMC157.8.2409                   
OGLE-LMC-RRLYR-00048  RRab  04:31:49.58 -69:34:24.1  LMC546.09.309    LMC157.5.2836                   
OGLE-LMC-RRLYR-00049  RRab  04:31:52.64 -68:46:02.5  LMC546.26.3544   LMC155.7.418                    
