OGLE-SMC-ECL-0001  SMC138.8    159 ED  00:21:04.87 -74:07:32.2
OGLE-SMC-ECL-0002  SMC138.7    981 ED  00:21:20.30 -74:01:13.7
OGLE-SMC-ECL-0003  SMC139.6    153 ED  00:21:22.13 -74:25:22.5
OGLE-SMC-ECL-0004  SMC139.5    724 ED  00:21:22.25 -74:17:52.6
OGLE-SMC-ECL-0005  SMC138.8    392 EC  00:21:23.84 -74:04:50.6
OGLE-SMC-ECL-0006  SMC138.7   1005 ED  00:21:27.49 -74:02:29.7
OGLE-SMC-ECL-0007  SMC138.6    105 ED  00:21:36.70 -73:46:45.1
OGLE-SMC-ECL-0008  SMC139.6     86 ED  00:21:43.56 -74:29:30.6
OGLE-SMC-ECL-0009  SMC138.7   1077 EC  00:21:45.38 -74:00:57.5
OGLE-SMC-ECL-0010  SMC139.7     90 ED  00:22:01.64 -74:32:32.7
OGLE-SMC-ECL-0011  SMC135.7    332 ED  00:22:18.29 -73:25:39.7
OGLE-SMC-ECL-0012  SMC140.7  37261 ED  00:22:27.98 -72:07:46.5
OGLE-SMC-ECL-0013  SMC139.6   2285 ED  00:22:30.11 -74:23:35.5
OGLE-SMC-ECL-0014  SMC138.7    715 ED  00:22:30.49 -74:00:26.2
OGLE-SMC-ECL-0015  SMC135.6     17 ED  00:22:38.91 -73:16:58.8
OGLE-SMC-ECL-0016  SMC138.5   1403 ED  00:22:42.14 -73:44:06.8
OGLE-SMC-ECL-0017  SMC138.6    795 ED  00:22:51.25 -73:46:16.6
OGLE-SMC-ECL-0018  SMC135.7    883 ED  00:22:53.13 -73:24:47.1
OGLE-SMC-ECL-0019  SMC138.6    145 ED  00:22:55.52 -73:53:16.5
OGLE-SMC-ECL-0020  SMC140.7  34595 ED  00:22:55.55 -72:05:15.3
OGLE-SMC-ECL-0021  SMC138.6    828 ED  00:22:56.27 -73:54:17.1
OGLE-SMC-ECL-0022  SMC138.5    907 EC  00:23:00.01 -73:38:30.6
OGLE-SMC-ECL-0023  SMC138.5   1550 ED  00:23:07.75 -73:41:51.3
OGLE-SMC-ECL-0024  SMC135.8     47 EC  00:23:24.08 -73:31:55.6
OGLE-SMC-ECL-0025  SMC139.6   2461 ED  00:23:25.80 -74:22:36.3
